Time [s],Channel 0,Channel 1,Channel 2
3.896606687,0,0,0
3.896607438,1,0,0
3.896608812,0,0,0
3.896610250,1,0,0
3.896611625,0,0,0
3.896613063,1,0,0
3.896614437,0,0,0
3.896615875,1,0,0
3.896617250,0,0,0
3.896617500,0,1,0
3.896617875,0,0,0
3.896618688,1,0,0
3.896620062,0,0,0
3.896621437,1,0,0
3.896622812,0,0,0
3.896624250,1,0,0
3.896625625,0,0,0
3.896627062,1,0,0
3.896628437,0,0,0
3.896629875,1,0,0
3.896631250,0,0,0
3.896632625,1,0,0
3.896634062,0,0,0
3.896635438,1,0,0
3.896636813,0,0,0
3.896638250,1,0,0
3.896639625,0,0,0
3.896641062,1,0,0
3.896642438,0,0,0
3.896642687,0,1,0
3.896643875,1,1,0
3.896645250,0,1,0
3.896645875,0,0,0
3.896646688,1,0,0
3.896648000,0,0,0
3.896648813,0,1,0
3.896649437,1,1,0
3.896650812,0,1,0
3.896651438,0,0,0
3.896652250,1,0,0
3.896653625,0,0,0
3.896654438,0,1,0
3.896655062,1,1,0
3.896656437,0,1,0
3.896657875,1,1,0
3.896659250,0,1,0
3.896660687,1,1,0
3.896662000,0,1,0
3.896663437,1,1,0
3.896664813,0,1,0
3.896664938,0,0,0
3.896687500,1,0,0
3.896688875,0,0,0
3.896689125,0,1,0
3.896689500,0,0,0
3.896690313,1,0,0
3.896692000,1,1,0
3.998709375,1,0,0
3.998710625,0,0,0
3.998712063,1,0,0
3.998713438,0,0,0
3.998714188,0,1,0
3.998714812,1,1,0
3.998716187,0,1,0
3.998717625,1,1,0
3.998719000,0,1,0
3.998720437,1,1,0
3.998721812,0,1,0
3.998723250,1,1,0
3.998724625,0,1,0
3.998725250,0,0,0
3.998726000,1,0,0
3.998727375,0,0,0
3.998728813,1,0,0
3.998730188,0,0,0
3.998731625,1,0,0
3.998733000,0,0,0
3.998734438,1,0,0
3.998735813,0,0,0
3.998736062,0,1,0
3.998736437,0,0,0
3.998737250,1,0,0
3.998738625,0,0,0
3.998740000,1,0,0
3.998741375,0,0,0
3.998742813,1,0,0
3.998744187,0,0,0
3.998745625,1,0,0
3.998747000,0,0,0
3.998748438,1,0,0
3.998749812,0,0,0
3.998751250,1,0,0
3.998752625,0,0,0
3.998754000,1,0,0
3.998755375,0,0,0
3.998756812,1,0,0
3.998758188,0,0,0
